genome_name	sgb_id	usgb	study	sample_name	genome_size	n_fifty	number_contigs	completeness	contamination	assigned_species	assigned_genus	assigned_family	assigned_order	assigned_class	assigned_phylum	assigned_kingdom	closest_species	closest_genus	closest_family	closest_order	closest_class	closest_phylum	closest_kingdom	average_distance	sequence_url	annotations_url	uniref_url
HeQ_2017__SZAXPI029461-129__bin.18	15132	No	HeQ_2017	SZAXPI029461-129	2524807	74890	52	83.89	0.67	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029461-129__bin.18.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029461-129__bin.18.txt
HeQ_2017__SZAXPI029463-136__bin.42	15132	No	HeQ_2017	SZAXPI029463-136	2877272	11524	340	92.48	2.51	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029463-136__bin.42.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029463-136__bin.42.txt
HeQ_2017__SZAXPI029464-140__bin.23	15132	No	HeQ_2017	SZAXPI029464-140	3047846	74567	62	96.64	0.47	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029464-140__bin.23.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029464-140__bin.23.txt
HeQ_2017__SZAXPI029466-158__bin.15	15132	No	HeQ_2017	SZAXPI029466-158	2943906	108762	40	98.32	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029466-158__bin.15.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029466-158__bin.15.txt
HeQ_2017__SZAXPI029483-78__bin.22	15132	No	HeQ_2017	SZAXPI029483-78	2944129	14749	316	86.89	0.81	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029483-78__bin.22.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029483-78__bin.22.txt
HeQ_2017__SZAXPI029484-80__bin.10	15132	No	HeQ_2017	SZAXPI029484-80	2914739	14518	286	92.76	1.92	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029484-80__bin.10.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029484-80__bin.10.txt
HeQ_2017__SZAXPI029484-80__bin.29	15159	No	HeQ_2017	SZAXPI029484-80	1306702	3519	396	53.76	0.00	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.03	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15159/HeQ_2017__SZAXPI029484-80__bin.29.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15159.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15159/HeQ_2017__SZAXPI029484-80__bin.29.txt
HeQ_2017__SZAXPI029486-84__bin.34	15132	No	HeQ_2017	SZAXPI029486-84	3121477	42713	112	96.98	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029486-84__bin.34.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029486-84__bin.34.txt
HeQ_2017__SZAXPI029489-87__bin.1	15132	No	HeQ_2017	SZAXPI029489-87	3236499	13349	378	96.47	4.16	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029489-87__bin.1.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029489-87__bin.1.txt
HeQ_2017__SZAXPI029495-96__bin.53	15132	No	HeQ_2017	SZAXPI029495-96	2745121	52349	96	93.15	0.00	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029495-96__bin.53.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029495-96__bin.53.txt
HeQ_2017__SZAXPI029499-101__bin.5	15132	No	HeQ_2017	SZAXPI029499-101	2885544	30198	150	97.15	0.00	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029499-101__bin.5.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029499-101__bin.5.txt
HeQ_2017__SZAXPI029500-102__bin.13	15132	No	HeQ_2017	SZAXPI029500-102	3367806	18173	286	97.12	3.61	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029500-102__bin.13.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029500-102__bin.13.txt
HeQ_2017__SZAXPI029501-104__bin.10	15132	No	HeQ_2017	SZAXPI029501-104	2819837	52779	81	95.53	0.30	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029501-104__bin.10.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029501-104__bin.10.txt
HeQ_2017__SZAXPI029541-107__bin.36	15132	No	HeQ_2017	SZAXPI029541-107	2440967	5123	597	77.02	0.69	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029541-107__bin.36.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029541-107__bin.36.txt
HeQ_2017__SZAXPI029546-133__bin.19	15132	No	HeQ_2017	SZAXPI029546-133	2818717	21565	186	94.90	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029546-133__bin.19.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029546-133__bin.19.txt
HeQ_2017__SZAXPI029557-42__bin.44	15132	No	HeQ_2017	SZAXPI029557-42	2929386	7172	549	86.68	0.47	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029557-42__bin.44.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029557-42__bin.44.txt
HeQ_2017__SZAXPI029574-89__bin.28	15132	No	HeQ_2017	SZAXPI029574-89	2404116	84971	36	84.00	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029574-89__bin.28.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029574-89__bin.28.txt
HeQ_2017__SZAXPI029575-90__bin.13	15132	No	HeQ_2017	SZAXPI029575-90	3439631	11127	417	92.65	1.23	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029575-90__bin.13.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029575-90__bin.13.txt
HeQ_2017__SZAXPI029577-94__bin.14	15159	No	HeQ_2017	SZAXPI029577-94	1998514	34706	88	91.50	4.16	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.03	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15159/HeQ_2017__SZAXPI029577-94__bin.14.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15159.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15159/HeQ_2017__SZAXPI029577-94__bin.14.txt
HeQ_2017__SZAXPI029578-96__bin.14	15132	No	HeQ_2017	SZAXPI029578-96	2599040	9199	386	89.45	1.68	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029578-96__bin.14.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029578-96__bin.14.txt
HeQ_2017__SZAXPI029578-96__bin.6	15159	No	HeQ_2017	SZAXPI029578-96	2206771	71576	59	96.64	0.00	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.03	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15159/HeQ_2017__SZAXPI029578-96__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15159.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15159/HeQ_2017__SZAXPI029578-96__bin.6.txt
HeQ_2017__SZAXPI029579-97__bin.18	15132	No	HeQ_2017	SZAXPI029579-97	3242405	51102	105	97.65	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029579-97__bin.18.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029579-97__bin.18.txt
HeQ_2017__SZAXPI029579-97__bin.31	15159	No	HeQ_2017	SZAXPI029579-97	2164583	33840	107	94.79	0.67	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.03	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15159/HeQ_2017__SZAXPI029579-97__bin.31.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15159.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15159/HeQ_2017__SZAXPI029579-97__bin.31.txt
HeQ_2017__SZAXPI029580-98__bin.29	15159	No	HeQ_2017	SZAXPI029580-98	2218120	32608	101	96.31	0.00	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.03	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15159/HeQ_2017__SZAXPI029580-98__bin.29.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15159.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15159/HeQ_2017__SZAXPI029580-98__bin.29.txt
HeQ_2017__SZAXPI029580-98__bin.8	15132	No	HeQ_2017	SZAXPI029580-98	3349029	53484	106	98.15	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029580-98__bin.8.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029580-98__bin.8.txt
HeQ_2017__SZAXPI029601-32__bin.17	15132	No	HeQ_2017	SZAXPI029601-32	2438942	6946	459	74.94	0.00	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029601-32__bin.17.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029601-32__bin.17.txt
HeQ_2017__SZAXPI029602-33__bin.11	15132	No	HeQ_2017	SZAXPI029602-33	2923717	20703	212	95.76	1.14	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/HeQ_2017__SZAXPI029602-33__bin.11.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/HeQ_2017__SZAXPI029602-33__bin.11.txt
KarlssonFH_2013__S317__bin.81	15132	No	KarlssonFH_2013	S317	3177941	48414	125	93.79	4.33	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/KarlssonFH_2013__S317__bin.81.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/KarlssonFH_2013__S317__bin.81.txt
KarlssonFH_2013__S561__bin.7	15132	No	KarlssonFH_2013	S561	3211112	33705	159	95.64	0.00	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/KarlssonFH_2013__S561__bin.7.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/KarlssonFH_2013__S561__bin.7.txt
KosticAD_2015__PRJNA231909.3102986__bin.1	15132	No	KosticAD_2015	PRJNA231909.3102986	2844684	5799	618	76.90	2.60	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/KosticAD_2015__PRJNA231909.3102986__bin.1.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/KosticAD_2015__PRJNA231909.3102986__bin.1.txt
KosticAD_2015__PRJNA231909.3107336__bin.6	15132	No	KosticAD_2015	PRJNA231909.3107336	2593829	3830	748	72.82	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/KosticAD_2015__PRJNA231909.3107336__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/KosticAD_2015__PRJNA231909.3107336__bin.6.txt
KosticAD_2015__PRJNA231909.3108488__bin.10	15159	No	KosticAD_2015	PRJNA231909.3108488	2512985	14733	262	94.13	1.34	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.03	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15159/KosticAD_2015__PRJNA231909.3108488__bin.10.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15159.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15159/KosticAD_2015__PRJNA231909.3108488__bin.10.txt
KosticAD_2015__PRJNA231909.3108488__bin.9	15132	No	KosticAD_2015	PRJNA231909.3108488	3049947	83718	55	92.62	0.30	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/KosticAD_2015__PRJNA231909.3108488__bin.9.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/KosticAD_2015__PRJNA231909.3108488__bin.9.txt
KosticAD_2015__PRJNA231909.3112925__bin.24	15132	No	KosticAD_2015	PRJNA231909.3112925	2671901	3530	824	78.41	2.18	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/KosticAD_2015__PRJNA231909.3112925__bin.24.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/KosticAD_2015__PRJNA231909.3112925__bin.24.txt
KosticAD_2015__PRJNA231909.3114784__bin.24	15132	No	KosticAD_2015	PRJNA231909.3114784	2479654	3617	754	73.49	2.28	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/KosticAD_2015__PRJNA231909.3114784__bin.24.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/KosticAD_2015__PRJNA231909.3114784__bin.24.txt
LeChatelierE_2013__MH0233__bin.24	15132	No	LeChatelierE_2013	MH0233	3124223	17507	281	92.09	2.44	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/LeChatelierE_2013__MH0233__bin.24.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/LeChatelierE_2013__MH0233__bin.24.txt
LeChatelierE_2013__MH0419__bin.26	15127	No	LeChatelierE_2013	MH0419	1485630	3631	455	52.90	3.69	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15127/LeChatelierE_2013__MH0419__bin.26.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15127.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15127/LeChatelierE_2013__MH0419__bin.26.txt
LiJ_2014__MH0221__bin.20	15158	Yes	LiJ_2014	MH0221	1548796	3742	467	59.82	3.38	N/A	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.08	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15158/LiJ_2014__MH0221__bin.20.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15158.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15158/LiJ_2014__MH0221__bin.20.txt
LiJ_2014__MH0246__bin.40	15159	No	LiJ_2014	MH0246	2338361	9065	336	87.37	4.73	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.03	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15159/LiJ_2014__MH0246__bin.40.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15159.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15159/LiJ_2014__MH0246__bin.40.txt
